image_path,label
data_for_train_model\text_125.png,Lemak total 6 g
data_for_train_model\text_126.png,Lemak jenuh 2 g
data_for_train_model\text_127.png,Lemak trans 0 g
data_for_train_model\text_128.png,Gula 15 g
data_for_train_model\text_129.png,Kolesterol 4 mg
data_for_train_model\text_130.png,Karbohidrat total 22 g
data_for_train_model\text_131.png,Protein 5 g
data_for_train_model\text_132.png,Asam linoleat 893 g
data_for_train_model\text_133.png,Asam a-linolenat 77 g
data_for_train_model\text_134.png,Natrium 100 mg
data_for_train_model\text_135.png,Kalium 180 mg
data_for_train_model\text_136.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_137.png,Energi 120 kkal
data_for_train_model\text_138.png,Lemak total 6 g
data_for_train_model\text_139.png,Karbohidrat total 10 g
data_for_train_model\text_140.png,Protein 6 g
data_for_train_model\text_141.png,Natrium 100 mg
data_for_train_model\text_142.png,Energi 35 kkal
data_for_train_model\text_143.png,Energi dari lemak 0 kkal
data_for_train_model\text_144.png,Lemak total 0 g
data_for_train_model\text_145.png,Gula 8 g
data_for_train_model\text_146.png,Karbohidrat total 8 g
data_for_train_model\text_147.png,Protein 1 g
data_for_train_model\text_148.png,Natrium 30 mg
data_for_train_model\text_149.png,Energi 130 kkal
data_for_train_model\text_150.png,Lemak total 3 g
data_for_train_model\text_151.png,Karbohidrat total 31 g
data_for_train_model\text_152.png,Protein 3 g
data_for_train_model\text_153.png,Natrium 105 mg
data_for_train_model\text_154.png,Jumlah Per Sajian (30 g)
data_for_train_model\text_155.png,Energi 130 kkal
data_for_train_model\text_156.png,Lemak total 3.50 g
data_for_train_model\text_157.png,Lemak jenuh 2 g
data_for_train_model\text_158.png,Lemak trans 0 g
data_for_train_model\text_159.png,Gula 12 g
data_for_train_model\text_160.png,Kolesterol 0 mg
data_for_train_model\text_161.png,Karbohidrat total 22 g
data_for_train_model\text_162.png,Protein 2 g
data_for_train_model\text_163.png,Asam linoleat 0.31 g
data_for_train_model\text_164.png,Asam a-linolenat 0.03 g
data_for_train_model\text_165.png,Serat pangan 1 g
data_for_train_model\text_166.png,Natrium 105 mg
data_for_train_model\text_167.png,Kalium 25 mg
data_for_train_model\text_168.png,Energi 100 kkal
data_for_train_model\text_169.png,Lemak total 1 g
data_for_train_model\text_170.png,Karbohidrat total 13 g
data_for_train_model\text_171.png,Protein 9 g
data_for_train_model\text_172.png,Natrium 180 mg
data_for_train_model\text_173.png,Energi 25 kkal
data_for_train_model\text_174.png,Lemak total 0 g
data_for_train_model\text_175.png,Karbohidrat total 0 g
data_for_train_model\text_176.png,Protein 5 g
data_for_train_model\text_177.png,Natrium 35 mg
data_for_train_model\text_178.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_179.png,Energi 150 kkal
data_for_train_model\text_180.png,Lemak total 2.50 g
data_for_train_model\text_181.png,Gula 19 g
data_for_train_model\text_182.png,Karbohidrat total 25 g
data_for_train_model\text_183.png,Protein 7 g
data_for_train_model\text_184.png,Natrium 100 mg
data_for_train_model\text_185.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_186.png,Energi 150 kkal
data_for_train_model\text_187.png,Lemak total 2.50 g
data_for_train_model\text_188.png,Gula 22 g
data_for_train_model\text_189.png,Karbohidrat total 24 g
data_for_train_model\text_190.png,Protein 7 g
data_for_train_model\text_191.png,Natrium 125 mg
data_for_train_model\text_192.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_193.png,Energi 160 kkal
data_for_train_model\text_194.png,Lemak total 5 g
data_for_train_model\text_195.png,Gula 14 g
data_for_train_model\text_196.png,Karbohidrat total 25 g
data_for_train_model\text_197.png,Protein 6 g
data_for_train_model\text_198.png,Natrium 95 mg
data_for_train_model\text_199.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_200.png,Energi 110 kkal
data_for_train_model\text_201.png,Lemak total 2.50 g
data_for_train_model\text_202.png,Gula 16 g
data_for_train_model\text_203.png,Karbohidrat total 16 g
data_for_train_model\text_204.png,Protein 7 g
data_for_train_model\text_205.png,Natrium 110 mg
data_for_train_model\text_206.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_207.png,Energi 140 kkal
data_for_train_model\text_208.png,Lemak total 7 g
data_for_train_model\text_209.png,Gula 11 g
data_for_train_model\text_210.png,Karbohidrat total 13 g
data_for_train_model\text_211.png,Protein 7 g
data_for_train_model\text_212.png,Natrium 100 mg
data_for_train_model\text_213.png,Jumlah Per Sajian (110 ml)
data_for_train_model\text_214.png,Energi 80 kkal
data_for_train_model\text_215.png,Lemak total 2.50 g
data_for_train_model\text_216.png,Karbohidrat total 10 g
data_for_train_model\text_217.png,Protein 3 g
data_for_train_model\text_218.png,Natrium 65 mg
data_for_train_model\text_219.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_220.png,Energi 160 kkal
data_for_train_model\text_221.png,Lemak total 5 g
data_for_train_model\text_222.png,Lemak jenuh 3 g
data_for_train_model\text_223.png,Kolesterol 10 mg
data_for_train_model\text_224.png,Karbohidrat total 24 g
data_for_train_model\text_225.png,Protein 5 g
data_for_train_model\text_226.png,Natrium 125 mg
data_for_train_model\text_227.png,Kalium 300 mg
data_for_train_model\text_228.png,Energi 130 kkal
data_for_train_model\text_229.png,Lemak total 4.50 g
data_for_train_model\text_230.png,Karbohidrat total 22 g
data_for_train_model\text_231.png,Protein 1 g
data_for_train_model\text_232.png,Natrium 35 mg
data_for_train_model\text_233.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_234.png,Energi 150 kkal
data_for_train_model\text_235.png,Lemak total 6 g
data_for_train_model\text_236.png,Gula 18 g
data_for_train_model\text_237.png,Karbohidrat total 20 g
data_for_train_model\text_238.png,Protein 6 g
data_for_train_model\text_239.png,Natrium 75 mg
data_for_train_model\text_240.png,Jumlah Per Sajian (45 g)
data_for_train_model\text_241.png,Energi 190 kkal
data_for_train_model\text_242.png,Lemak total 4 g
data_for_train_model\text_243.png,Karbohidrat total 27 g
data_for_train_model\text_244.png,Protein 10 g
data_for_train_model\text_245.png,Natrium 110 mg
data_for_train_model\text_246.png,Energi 120 kkal
data_for_train_model\text_247.png,Lemak total 0 g
data_for_train_model\text_248.png,Karbohidrat total 30 g
data_for_train_model\text_249.png,Protein 0 g
data_for_train_model\text_250.png,Natrium 55 mg
data_for_train_model\text_251.png,Jumlah Per Sajian (23 g)
data_for_train_model\text_252.png,Energi 90 kkal
data_for_train_model\text_253.png,Lemak total 0 g
data_for_train_model\text_254.png,Gula 17 g
data_for_train_model\text_255.png,Karbohidrat total 21 g
data_for_train_model\text_256.png,Protein 1 g
data_for_train_model\text_257.png,Natrium 0 mg
data_for_train_model\text_258.png,Jumlah Per Sajian (23 g)
data_for_train_model\text_259.png,Energi 90 kkal
data_for_train_model\text_260.png,Lemak total 0.50 g
data_for_train_model\text_261.png,Gula 17 g
data_for_train_model\text_262.png,Karbohidrat total 21 g
data_for_train_model\text_263.png,Protein 1 g
data_for_train_model\text_264.png,Natrium 0 mg
data_for_train_model\text_265.png,Jumlah Per Sajian (23 g)
data_for_train_model\text_266.png,Energi 90 kkal
data_for_train_model\text_267.png,Lemak total 0.50 g
data_for_train_model\text_268.png,Gula 17 g
data_for_train_model\text_269.png,Karbohidrat total 21 g
data_for_train_model\text_270.png,Protein 1 g
data_for_train_model\text_271.png,Natrium 0 mg
data_for_train_model\text_272.png,Jumlah Per Sajian (20 g)
data_for_train_model\text_273.png,Energi 100 kkal
data_for_train_model\text_274.png,Energi dari lemak 40 kkal
data_for_train_model\text_275.png,Lemak total 4.50 g
data_for_train_model\text_276.png,Lemak jenuh 4.50 g
data_for_train_model\text_277.png,Gula 13 g
data_for_train_model\text_278.png,Karbohidrat total 14 g
data_for_train_model\text_279.png,Protein 1 g
data_for_train_model\text_280.png,Serat pangan 1 g
data_for_train_model\text_281.png,Natrium 100 mg
data_for_train_model\text_282.png,Jumlah Per Sajian (225 ml)
data_for_train_model\text_283.png,Energi 50 kkal
data_for_train_model\text_284.png,Lemak total 0 g
data_for_train_model\text_285.png,Gula 12 g
data_for_train_model\text_286.png,Karbohidrat total 14 g
data_for_train_model\text_287.png,Protein 0 g
data_for_train_model\text_288.png,Natrium 70 mg
data_for_train_model\text_289.png,Energi 160 kkal
data_for_train_model\text_290.png,Lemak total 9 g
data_for_train_model\text_291.png,Lemak jenuh 3 g
data_for_train_model\text_292.png,Lemak trans 0 g
data_for_train_model\text_293.png,Gula 7 g
data_for_train_model\text_294.png,Kolesterol 25 mg
data_for_train_model\text_295.png,Karbohidrat total 12 g
data_for_train_model\text_296.png,Protein 8 g
data_for_train_model\text_297.png,Serat pangan 1 g
data_for_train_model\text_298.png,Natrium 75 mg
data_for_train_model\text_299.png,Kalium 310 mg
data_for_train_model\text_300.png,Jumlah Per Sajian (23 g)
data_for_train_model\text_301.png,Energi 104 kkal
data_for_train_model\text_302.png,Lemak total 3 g
data_for_train_model\text_303.png,Karbohidrat total 18 g
data_for_train_model\text_304.png,Protein 1 g
data_for_train_model\text_305.png,Natrium 27 mg
data_for_train_model\text_306.png,Jumlah Per Sajian (35 g)
data_for_train_model\text_307.png,Energi 130 kkal
data_for_train_model\text_308.png,Lemak total 2 g
data_for_train_model\text_309.png,Karbohidrat total 21 g
data_for_train_model\text_310.png,Protein 8 g
data_for_train_model\text_311.png,Natrium 150 mg
data_for_train_model\text_312.png,Jumlah Per Sajian (45 g)
data_for_train_model\text_313.png,Energi 180 kkal
data_for_train_model\text_314.png,Energi dari lemak 25 kkal
data_for_train_model\text_315.png,Lemak total 2.50 g
data_for_train_model\text_316.png,Lemak jenuh 2 g
data_for_train_model\text_317.png,Lemak trans 0 g
data_for_train_model\text_318.png,Gula 26 g
data_for_train_model\text_319.png,Vitamin E 8.20 mg
data_for_train_model\text_320.png,Vitamin B1 0.45 mg
data_for_train_model\text_321.png,Vitamin B2 0.60 mg
data_for_train_model\text_322.png,Vitamin B3 7.30 mg
data_for_train_model\text_323.png,Vitamin B5 1.80 mg
data_for_train_model\text_324.png,Vitamin B6 0.55 mg
data_for_train_model\text_325.png,Vitamin B12 1.70 mcg
data_for_train_model\text_326.png,Vitamin C 25 mg
data_for_train_model\text_327.png,Kolesterol 0 mg
data_for_train_model\text_328.png,Karbohidrat total 33 g
data_for_train_model\text_329.png,Protein 6 g
data_for_train_model\text_330.png,Folat 195 mcg
data_for_train_model\text_331.png,Kalsium 602 mg
data_for_train_model\text_332.png,Fosfor 297 mg
data_for_train_model\text_333.png,Magnesium 29 mg
data_for_train_model\text_334.png,Natrium 135 mg
data_for_train_model\text_335.png,Mangan 162 mcg
data_for_train_model\text_336.png,Kromium 2 mcg
data_for_train_model\text_337.png,Besi 7 mg
data_for_train_model\text_338.png,Iodium 26 mcg
data_for_train_model\text_339.png,Seng 2.10 mg
data_for_train_model\text_340.png,Selenium 7 mcg
data_for_train_model\text_341.png,Energi 70 kkal
data_for_train_model\text_342.png,Lemak total 2 g
data_for_train_model\text_343.png,Karbohidrat total 12 g
data_for_train_model\text_344.png,Protein 0 g
data_for_train_model\text_345.png,Natrium 35 mg
data_for_train_model\text_346.png,Jumlah Per Sajian (330 ml)
data_for_train_model\text_347.png,Energi 100 kkal
data_for_train_model\text_348.png,Energi dari lemak 0 kkal
data_for_train_model\text_349.png,Lemak total 0 g
data_for_train_model\text_350.png,Gula 24 g
data_for_train_model\text_351.png,Karbohidrat total 26 g
data_for_train_model\text_352.png,Protein 0 g
data_for_train_model\text_353.png,Natrium 35 mg
data_for_train_model\text_354.png,Jumlah Per Sajian (190 ml)
data_for_train_model\text_355.png,Energi 120 kkal
data_for_train_model\text_356.png,Energi dari lemak 35 kkal
data_for_train_model\text_357.png,Lemak total 4 g
data_for_train_model\text_358.png,Lemak jenuh 2.50 g
data_for_train_model\text_359.png,Lemak tidak jenuh tunggal 1 g
data_for_train_model\text_360.png,Gula 19 g
data_for_train_model\text_361.png,Kolesterol 2 mg
data_for_train_model\text_362.png,Karbohidrat total 18 g
data_for_train_model\text_363.png,Protein 4 g
data_for_train_model\text_364.png,Serat pangan 2 g
data_for_train_model\text_365.png,Natrium 75 mg
data_for_train_model\text_366.png,Jumlah Per Sajian (30 g)
data_for_train_model\text_367.png,Energi 150 kkal
data_for_train_model\text_368.png,Lemak total 8 g
data_for_train_model\text_369.png,Karbohidrat total 13 g
data_for_train_model\text_370.png,Protein 7 g
data_for_train_model\text_371.png,Natrium 95 mg
data_for_train_model\text_372.png,Jumlah Per Sajian (190 ml)
data_for_train_model\text_373.png,Energi 140 kkal
data_for_train_model\text_374.png,Lemak total 4.50 g
data_for_train_model\text_375.png,Karbohidrat total 22 g
data_for_train_model\text_376.png,Protein 4 g
data_for_train_model\text_377.png,Natrium 105 mg
data_for_train_model\text_378.png,Jumlah Per Sajian (15 g)
data_for_train_model\text_379.png,Energi 60 kkal
data_for_train_model\text_380.png,Lemak total 0 g
data_for_train_model\text_381.png,Karbohidrat total 14 g
data_for_train_model\text_382.png,Protein 0 g
data_for_train_model\text_383.png,Natrium 35 mg
data_for_train_model\text_384.png,Energi 30 kkal
data_for_train_model\text_385.png,Energi dari lemak 0 kkal
data_for_train_model\text_386.png,Lemak total 0 g
data_for_train_model\text_387.png,Gula 7 g
data_for_train_model\text_388.png,Karbohidrat total 8 g
data_for_train_model\text_389.png,Protein 0 g
data_for_train_model\text_390.png,Natrium 30 mg
data_for_train_model\text_391.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_392.png,Energi 170 kkal
data_for_train_model\text_393.png,Energi dari lemak 35 kkal
data_for_train_model\text_394.png,Lemak total 3.50 g
data_for_train_model\text_395.png,Lemak jenuh 0 g
data_for_train_model\text_396.png,Gula 27 g
data_for_train_model\text_397.png,Kolesterol 0 mg
data_for_train_model\text_398.png,Karbohidrat total 29 g
data_for_train_model\text_399.png,Protein 4 g
data_for_train_model\text_400.png,Natrium 50 mg
data_for_train_model\text_401.png,Kalium 170 mg
data_for_train_model\text_402.png,Energi 98 kkal
data_for_train_model\text_403.png,Lemak total 2 g
data_for_train_model\text_404.png,Karbohidrat total 17 g
data_for_train_model\text_405.png,Protein 1 g
data_for_train_model\text_406.png,Natrium 15 mg
data_for_train_model\text_407.png,Energi 90 kkal
data_for_train_model\text_408.png,Lemak total 0 g
data_for_train_model\text_409.png,Karbohidrat total 21 g
data_for_train_model\text_410.png,Protein 1 g
data_for_train_model\text_411.png,Natrium 0 mg
data_for_train_model\text_412.png,Energi 0 kkal
data_for_train_model\text_413.png,Lemak total 0 g
data_for_train_model\text_414.png,Karbohidrat total 0 g
data_for_train_model\text_415.png,Protein 0 g
data_for_train_model\text_416.png,Natrium 0 mg
data_for_train_model\text_417.png,Energi 80 kkal
data_for_train_model\text_418.png,Energi dari lemak 10 kkal
data_for_train_model\text_419.png,Lemak total 1 g
data_for_train_model\text_420.png,Lemak jenuh 1 g
data_for_train_model\text_421.png,Gula 10 g
data_for_train_model\text_422.png,Kolesterol 3 mg
data_for_train_model\text_423.png,Karbohidrat total 15 g
data_for_train_model\text_424.png,Protein 2 g
data_for_train_model\text_425.png,Serat pangan 0 g
data_for_train_model\text_426.png,Natrium 40 mg
data_for_train_model\text_427.png,Jumlah Per Sajian (40 g)
data_for_train_model\text_428.png,Energi 160 kkal
data_for_train_model\text_429.png,Lemak total 3 g
data_for_train_model\text_430.png,Karbohidrat total 25 g
data_for_train_model\text_431.png,Protein 8 g
data_for_train_model\text_432.png,Natrium 135 mg
data_for_train_model\text_433.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_434.png,Energi 160 kkal
data_for_train_model\text_435.png,Lemak total 4.50 g
data_for_train_model\text_436.png,Karbohidrat total 22 g
data_for_train_model\text_437.png,Protein 6 g
data_for_train_model\text_438.png,Natrium 105 mg
data_for_train_model\text_439.png,Jumlah Per Sajian (14 g)
data_for_train_model\text_440.png,Energi 80 kkal
data_for_train_model\text_441.png,Energi dari lemak 15 kkal
data_for_train_model\text_442.png,Lemak total 2 g
data_for_train_model\text_443.png,Lemak jenuh 1 g
data_for_train_model\text_444.png,Gula 8 g
data_for_train_model\text_445.png,Kolesterol 0.01 mg
data_for_train_model\text_446.png,Karbohidrat total 13 g
data_for_train_model\text_447.png,Protein 2 g
data_for_train_model\text_448.png,Serat pangan 0 g
data_for_train_model\text_449.png,Natrium 35 mg
data_for_train_model\text_450.png,Jumlah Per Sajian (300 ml)
data_for_train_model\text_451.png,Energi 170 kkal
data_for_train_model\text_452.png,Lemak total 1.50 g
data_for_train_model\text_453.png,Karbohidrat total 37 g
data_for_train_model\text_454.png,Protein 2 g
data_for_train_model\text_455.png,Natrium 180 mg
data_for_train_model\text_456.png,Jumlah Per Sajian (180 g)
data_for_train_model\text_457.png,Energi 100 kkal
data_for_train_model\text_458.png,Energi dari lemak 10 kkal
data_for_train_model\text_459.png,Lemak total 1 g
data_for_train_model\text_460.png,Lemak jenuh 0.50 g
data_for_train_model\text_461.png,Gula 19 g
data_for_train_model\text_462.png,Vitamin E 15 mg
data_for_train_model\text_463.png,Vitamin B3 15 mg
data_for_train_model\text_464.png,Vitamin B6 15 mg
data_for_train_model\text_465.png,Kolesterol 6 mg
data_for_train_model\text_466.png,Karbohidrat total 22 g
data_for_train_model\text_467.png,Protein 1 g
data_for_train_model\text_468.png,Kalsium 10 mg
data_for_train_model\text_469.png,Natrium 110 mg
data_for_train_model\text_470.png,Jumlah Per Sajian (100 ml)
data_for_train_model\text_471.png,Energi 83 kkal
data_for_train_model\text_472.png,Lemak total 4 g
data_for_train_model\text_473.png,Vitamin A 330 mcg
data_for_train_model\text_474.png,Vitamin D 2.20 mcg
data_for_train_model\text_475.png,Vitamin E 3.70 mg
data_for_train_model\text_476.png,Vitamin K 8.60 mcg
data_for_train_model\text_477.png,Vitamin B1 118 mg
data_for_train_model\text_478.png,Vitamin B2 201 mg
data_for_train_model\text_479.png,Vitamin B3 1.80 mg
data_for_train_model\text_480.png,Vitamin B5 860 mg
data_for_train_model\text_481.png,Vitamin B6 116 mg
data_for_train_model\text_482.png,Vitamin B12 0.25 mcg
data_for_train_model\text_483.png,Vitamin C 16 mg
data_for_train_model\text_484.png,Karbohidrat total 9 g
data_for_train_model\text_485.png,Protein 3 g
data_for_train_model\text_486.png,Asam linoleat 577 g
data_for_train_model\text_487.png,Asam a-linolenat 47 g
data_for_train_model\text_488.png,Serat pangan 0.80 g
data_for_train_model\text_489.png,Biotin 5 mcg
data_for_train_model\text_490.png,Kolin 18 mg
data_for_train_model\text_491.png,Kalsium 91 mg
data_for_train_model\text_492.png,Fosfor 49 mg
data_for_train_model\text_493.png,Magnesium 8.10 mg
data_for_train_model\text_494.png,Natrium 70 mg
data_for_train_model\text_495.png,Kalium 109 mg
data_for_train_model\text_496.png,Mangan 6.90 mcg
data_for_train_model\text_497.png,Tembaga 75 mg
data_for_train_model\text_498.png,Besi 1.50 mg
data_for_train_model\text_499.png,Iodium 25 mcg
data_for_train_model\text_500.png,Seng 0.90 mg
data_for_train_model\text_501.png,Energi 50 kkal
data_for_train_model\text_502.png,Lemak total 0 g
data_for_train_model\text_503.png,Gula 11 g
data_for_train_model\text_504.png,Vitamin A 269 mcg
data_for_train_model\text_505.png,Vitamin E 5.20 mg
data_for_train_model\text_506.png,Vitamin B1 0.14 mg
data_for_train_model\text_507.png,Vitamin B3 3.20 mg
data_for_train_model\text_508.png,Vitamin B6 0.56 mg
data_for_train_model\text_509.png,Vitamin C 90 mg
data_for_train_model\text_510.png,Karbohidrat total 14 g
data_for_train_model\text_511.png,Protein 0 g
data_for_train_model\text_512.png,Folat 63 mcg
data_for_train_model\text_513.png,Kalsium 50 mg
data_for_train_model\text_514.png,Natrium 50 mg
data_for_train_model\text_515.png,Energi 50 kkal
data_for_train_model\text_516.png,Lemak total 0 g
data_for_train_model\text_517.png,Lemak jenuh 0 g
data_for_train_model\text_518.png,Gula 11 g
data_for_train_model\text_519.png,Vitamin A 322 mcg
data_for_train_model\text_520.png,Vitamin D 180 mcg
data_for_train_model\text_521.png,Vitamin E 2.50 mg
data_for_train_model\text_522.png,Vitamin B1 0.22 mg
data_for_train_model\text_523.png,Vitamin B3 2.40 mg
data_for_train_model\text_524.png,Vitamin B6 0.22 mg
data_for_train_model\text_525.png,Vitamin C 90 mg
data_for_train_model\text_526.png,Karbohidrat total 13 g
data_for_train_model\text_527.png,Protein 0 g
data_for_train_model\text_528.png,Kalsium 89 mg
data_for_train_model\text_529.png,Fosfor 14 mg
data_for_train_model\text_530.png,Natrium 5 mg
data_for_train_model\text_531.png,Energi 140 kkal
data_for_train_model\text_532.png,Lemak total 3 g
data_for_train_model\text_533.png,Karbohidrat total 26 g
data_for_train_model\text_534.png,Protein 2 g
data_for_train_model\text_535.png,Natrium 35 mg
data_for_train_model\text_536.png,Jumlah Per Sajian (40 g)
data_for_train_model\text_537.png,Energi 150 kkal
data_for_train_model\text_538.png,Lemak total 1 g
data_for_train_model\text_539.png,Karbohidrat total 29 g
data_for_train_model\text_540.png,Protein 6 g
data_for_train_model\text_541.png,Natrium 150 mg
data_for_train_model\text_542.png,Energi 150 kkal
data_for_train_model\text_543.png,Lemak total 1 g
data_for_train_model\text_544.png,Karbohidrat total 29 g
data_for_train_model\text_545.png,Protein 7 g
data_for_train_model\text_546.png,Natrium 110 mg
data_for_train_model\text_547.png,Energi 120 kkal
data_for_train_model\text_548.png,Lemak total 6 g
data_for_train_model\text_549.png,Karbohidrat total 9 g
data_for_train_model\text_550.png,Protein 6 g
data_for_train_model\text_551.png,Natrium 40 mg
